id tweet,author,palabra
1567192055402696707,@huevoserpiente,te
1567120348805562368,@jmorcli,camboya
1567138649896062978,@jjaranaz94,https://t.co/sfv2issut7
1567357480295866368,@marcar_r,#vivaméxico
1567174003403460610,@visnuganan,#felizmartes
1567102491568881664,@famelica_legion,nos
1567377231332114432,@vikimartinezqui,𝒚
1567390751574691840,@crippledtree,““
1567120430720237569,@quenoticiasec,https://t.co/k67vw2p4ll
1567200250586079232,@palestina00,y
1567182750037250050,@brianviana20,cabo
1567251708350271488,@patriotapsuvvv,#felizmartes
1567255904801771520,@arteaga84,consigan
1567109089238343683,@katheri96760831,familiar
1567249194070441986,@leibyavila,las
1567113273174278149,@margari03633999,que
1567304363592359937,@carlosarcossua1,en
1567229732806164481,@cubanotiza,votó
1567323348475969539,@marleni541,#veлezuela..
1567136729462603776,@princesadehugo,el
1567116377697263616,@maracana1950,https://t.co/ikbbd6znqg
1567109897308749826,@gladysp43053339,rt
1567329254177755140,@florenci2904,quepan
1567160189320568835,@miguelinpalacio,https://t.co/p8v7pdfb8p
1567141869288673280,@lionperez3,en
1567197361868361729,@danyrglez,sobre
1567216722016612352,@hernanr96557145,pregúntale
1567498412689432583,@ferea8,ninguna
1567245737695510531,@jd4ni,"devolvió,"
1567322408700215296,@lizardokeiry,visionario
1567134807460544513,@renedelvalleb,de
1567107386829045760,@rushfamtourneys,@abe32555420:
1567188244181274626,@bernardodegalv3,🤬
1567235660599148546,@myka50curly,musivaria
1567293644847071232,@rey_ussa,🥴.
1567183692774211584,@nazcamacho,#felizmartes
1567209090471821312,@victor_forteza,y
1567338002229207041,@retrotuitorama,https://t.co/ol0il1xh3k
1567181880931373057,@jose16945309,seguro
1567192249368182786,@gmodominguez,dele
1567155338239004673,@aoifearias,https://t.co/epabhl6mhb
1567321899935350787,@faby_nava77,nada
1567112877520998402,@protegeryservir,#felizmartes
1567150638294777857,@elreporteinfo,todo.
1567147551236685825,@parajesxvisitar,vez
1567215543148478472,@luisalillo1,1931
1567209562104635395,@ox_rosario,buenos
1567485602819440642,@arnulfovanegas5,#veлezuela..
1567210479151349766,@yanileysi8,@dezurdateam_:
1567135878916489216,@traselvalle_obc,@jjaranaz94:
1567218763707154433,@evabrac,la
1567268021109915650,@clickserch,🥭🍌🍊🍉
1567130851040759808,@manutrimack,rt
1567281209947873282,@ajuradoro,en
1567122268093833216,@lukyal,hoy
1567137197714804740,@benavidesang,en
1567129616019587072,@xelmejor,todo
1567129994291200007,@anishinoda_,nueva.
1567107223226048512,@nereag11,les
1567128190098743298,@cieloazuldecuba,actual
1567155799021047811,@paxianticasta,"tv,"
1567120776888991746,@nnunezortiz,dar
1567168324752052229,@tapatia_jal80,has
1567146710786342913,@angel66336414,la
1567354218666762240,@dimasrodfiguez,☮️
1567139813484027904,@trendtipsnet,de
1567184704301834240,@popprush,los
1567246377784074240,@iraida1233,a
1567196024355045381,@pacomartin1970,https://t.co/pylnghkuel
1567189653962342405,@darly_coro,en
1567230823954542592,@marveli30082609,@martha_elena16
1567141050262732800,@serkaape,de
1567194237472591881,@isaias191799,tu
1567115336121548800,@marbely008,del
